BYRNE, TERENCE N.	
CABLE, ERIC G.	
CABLE, SIR JAMES E.	Q1680116
CACCIA, SIR HAROLD A.	Q3523902
CADOGAN, Rt. Hon. Sir ALEXANDER G.M.	Q711029
CAFFERTY, MICHAEL A.	
CAHILL, SIR J. ROBERT	
CAIE, ANDREW J.F.	
CAIRNS, DAVID S.	
CAIRNS, DONALD H.	
CALLAGHAN, FRANCIS	
CALLAN, SIR IVAN	
CALLENDER, REGINALD T.	
CALLWEY, ERIC W.	
CALVERT, ALBERT S.	
CAMBRIDGE, ALAN J.	
CAMBRIDGE, ROGER A.	
CAMBRIDGE, S. JOHN.G.	
CAMERON, DONAL	
CAMERON, DONALD A.	
CAMPBELL, SIR ALAN H.	
CAMPBELL, CHRISTOPHER J.	
CAMPBELL, DAVID I.	
CAMPBELL, SIR FRANCIS A.	
CAMPBELL, FRANCIS M.X.	
CAMPBELL, SIR GERALD	
CAMPBELL, JOHN D.	
CAMPBELL, JULIET J. d’A.	Q56808630
CAMPBELL, ROBERT P.	
CAMPBELL, Rt. Hon. SIR RONALD H.	Q4251101
CAMPBELL, Rt. Hon. SIR RONALD I.	
CAMPBELL, SHARON I.	Q56808537
CAMPBELL, STAFFORD F.	
CANE, SIR CYRIL H.	
CANNING, Rt. Hon. GEORGE	Q219731
CANNING, MARK	Q6766985
CANNON, NICHOLAS	
CANTOR, ANTHONY J.J.	Q4772213
CAPE, DONALD P.M.S.	
CAPEL CURE, SIR EDWARD H.	
CAPELING, JULIET MARIC	
CAPIE, RONALD R.	
CAPPER, Major CHARLES F.	
CARADON, Rt. Hon. HUGH, LORD	Q1634339
CARDEN, DERRICK C. (BILL)	
CARDEN, SIR LIONEL E.G.	Q16058991
CAREW-HUNT, HENRY T.	Q16557083
CAREY-FOSTER, GEORGE A.	
CARLESS, HUGH M.	Q5930263
CARLISLE, TOM F.	
CARNEGIE, Rt. Hon. SIR LANCELOT D.	Q6483607
CARRICK, SIR ROGER J.	Q15429008
CARRINGTON, Rt. Hon. PETER, 6th LORD	Q335038
CARRUTHERS, COLIN M.	
CARSE, WILLIAM M.	
CARTER, ANDREW	
CARTER, DAVID	Q5232207
CARTER, PEERS L.	Q7160459
CARTER, PETER A.	
CARTER, PETER L.	Q7173198
CARTER, SIR R.H. ARCHIBALD	Q24060501
CARTER, R.W. BERNARD	
CARTER, ROLAND	
CARTER, THOMAS H.	
CARTER, WILLIAM S.	
CARTLEDGE, SIR BRYAN G.	Q4216219
CARTWRIGHT, Rt. Hon. SIR FAIRFAX L.	Q1393205
CARTWRIGHT, SIR THOMAS	Q5604209
CARTWRIGHT, SIR W. CHAUNCY	
CARVELL, JOHN E.M.	Q23710230
CARY, ANTHONY J.	
CARYSFORT, Rt. Hon. JOHN, 1st EARL OF, K.P.	Q6253475
CASAMAJOR, JUSTINIAN	Q56753998
CASAMAJOR, LEWIS D.	
CASEMENT, SIR ROGER D.	Q311966
CASEY, NIGEL P.	
CASSON, JOHN D.	
CATHCART, General Rt. Hon. WILLIAM S., 1st EARL, K.T.	Q335766
CATHCART, Colonel the Hon. FREDERICK	
CATON, VALERIE	Q7911252
CAVE, SIR BASIL S.	Q4867133
CAVENDISH-BENTINCK, VICTOR F.W.	Q3557217
CAVENDISH-BENTINCK, Lieutenant-General Rt. Hon. LORD WILLIAM H.	Q138559
CECIL, ROBERT	
CEURVORST, ANTONY P.	
CHAD, GEORGE W.	Q5546308
CHADWICK, G.W. ST. JOHN	
CHADWICK, SIR JOHN E.	
CHALKLEY, SIR H. OWEN	
CHALMERS, GEORGE B.	
CHAMBERLAIN, KEVIN J.	
CHAMPION, JOHN S.	
CHANDLEY, PETER W.	
CHAPLIN, EDWARD G.M.	Q5342255
CHAPMAN, SIR ARTHUR	
CHAPMAN, J.K. (BEN)	
CHAPMAN, MARK F.	
CHAPMAN-ANDREWS, SIR EDWIN A.	
CHAPPELL, JULIE L.J.	
CHARLES, SIR NOEL H.H., Bt.	
CHARLTON, ALAN	
CHARLTON, ARCHIBALD C.	
CHARKTON, MICHAEL	
CHASE, ROBERT J.	
CHATTERTON DICKSON, ROBERT M.F.	
CHEESEMAN, BERNARD	
CHEETHAM, SIR J. MILNE C.	Q4516659
